,Season,Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
31,2013,WR,SD,Vincent Brown,16,917,1110.0,82.61,57.31,0.0,7.52,7.52,53.2,0.06
32,2013,WR,BUF,Robert Woods,14,910,1027.0,88.61,65.0,0.22,9.34,9.56,80.3,0.09
33,2013,WR,MIA,Brian Hartline,16,907,1027.0,88.32,56.69,0.0,14.77,14.77,125.6,0.14
34,2013,WR,CAR,Brandon LaFell,16,907,1029.0,88.14,56.69,0.22,9.37,9.59,94.2,0.1
35,2013,TE,DET,Brandon Pettigrew,14,903,990.0,91.21,64.5,0.0,6.98,6.98,51.6,0.06
36,2013,TE,PIT,Heath Miller,14,902,942.0,95.75,64.43,0.0,8.65,8.65,63.3,0.07
37,2013,TE,DEN,Julius Thomas,14,901,1047.0,86.06,64.36,0.0,9.99,9.99,150.8,0.17
38,2013,WR,CLE,Josh Gordon,14,899,966.0,93.06,64.21,0.56,17.69,18.24,227.4,0.25
39,2013,WR,DET,Calvin Johnson,14,892,1008.0,88.49,63.71,0.0,17.49,17.49,219.2,0.25
40,2013,TE,CIN,Jermaine Gresham,14,891,975.0,91.38,63.64,0.0,7.63,7.63,64.1,0.07
41,2013,WR,TEN,Nate Washington,16,887,1075.0,82.51,55.44,0.0,11.84,11.84,109.9,0.12
42,2013,RB,PHI,LeSean McCoy,16,872,1103.0,79.06,54.5,36.01,7.34,43.35,278.6,0.32
43,2013,TE,MIA,Charles Clay,16,855,1027.0,83.25,53.44,0.82,11.93,12.75,119.4,0.14
44,2013,TE,NYG,Brandon Myers,16,848,1026.0,82.65,53.0,0.0,8.96,8.96,76.2,0.09
45,2013,WR,GB,James Jones,14,847,975.0,86.87,60.5,0.0,10.98,10.98,97.7,0.12
46,2013,RB,KC,Jamaal Charles,15,845,1007.0,83.91,56.33,30.65,12.31,42.96,308.0,0.36
47,2013,TE,PHI,Brent Celek,16,844,1103.0,76.52,52.75,0.0,6.04,6.04,84.2,0.1
48,2013,WR,KC,Dwayne Bowe,15,837,1007.0,83.12,55.8,0.0,12.31,12.31,97.3,0.12
49,2013,WR,NYG,Hakeem Nicks,15,833,959.0,86.86,55.53,0.0,12.12,12.12,89.6,0.11
50,2013,WR,BUF,TJ Graham,16,823,1161.0,70.89,51.44,0.49,7.05,7.53,47.5,0.06
51,2013,TE,IND,Coby Fleener,16,816,1070.0,76.26,51.0,0.0,10.66,10.66,88.8,0.11
52,2013,TE,SF,Vernon Davis,15,811,938.0,86.46,54.07,0.0,10.36,10.36,161.0,0.2
53,2013,TE,WAS,Logan Paulsen,16,809,1144.0,70.72,50.56,0.0,6.18,6.18,40.7,0.05
54,2013,WR,TEN,Kendall Wright,16,807,1075.0,75.07,50.44,0.0,17.22,17.22,119.9,0.15
55,2013,WR,SF,Anquan Boldin,16,804,991.0,81.13,50.25,0.25,16.04,16.29,161.0,0.2
56,2013,RB,TEN,Chris Johnson,16,798,1075.0,74.23,49.88,34.96,6.52,41.48,198.2,0.25
57,2013,WR,PIT,Emmanuel Sanders,16,797,1052.0,75.76,49.81,0.13,14.05,14.18,114.5,0.14
58,2013,WR,BAL,Marlon Brown,14,790,981.0,80.53,56.43,0.13,10.38,10.51,96.2,0.12
59,2013,WR,PHI,Jason Avant,16,789,1103.0,71.53,49.31,0.0,9.63,9.63,54.7,0.07
60,2013,WR,NYG,Victor Cruz,14,785,892.0,88.0,56.07,0.0,15.54,15.54,121.8,0.16
61,2013,WR,ATL,Roddy White,13,782,898.0,87.08,60.15,0.0,12.4,12.4,87.1,0.11
62,2013,WR,LAR,Chris Givens,16,779,1004.0,77.59,48.69,0.39,10.65,11.04,55.7,0.07
63,2013,TE,HOU,Garrett Graham,13,772,930.0,83.01,59.38,0.0,11.53,11.53,82.5,0.11
64,2013,WR,CAR,Steve Smith,15,770,971.0,79.3,51.33,0.0,14.29,14.29,98.5,0.13
65,2013,WR,DEN,Wes Welker,13,770,1001.0,76.92,59.23,0.0,14.42,14.42,135.8,0.18
66,2013,WR,SEA,Golden Tate,16,762,1012.0,75.3,47.63,0.39,12.99,13.39,122.9,0.16
67,2013,TE,TEN,Delanie Walker,15,762,1025.0,74.34,50.8,0.0,11.29,11.29,93.1,0.12
68,2013,WR,JAX,Cecil Shorts,13,760,854.0,88.99,58.46,0.0,16.18,16.18,95.7,0.13
69,2013,WR,IND,TY Hilton,16,759,1070.0,70.93,47.44,0.26,18.18,18.45,138.9,0.18
70,2013,TE,NO,Jimmy Graham,16,754,1127.0,66.9,47.13,0.0,18.83,18.83,217.5,0.29
71,2013,WR,NO,Marques Colston,15,750,1053.0,71.23,50.0,0.0,14.8,14.8,124.3,0.17
72,2013,WR,CIN,Mohamed Sanu,16,750,1132.0,66.25,46.88,0.53,10.27,10.8,58.1,0.08
73,2013,WR,SEA,Doug Baldwin,16,749,1012.0,74.01,46.81,0.27,9.75,10.01,108.4,0.14
74,2013,WR,OAK,Rod Streater,16,748,1036.0,72.2,46.75,0.27,13.24,13.5,112.5,0.15
75,2013,RB,SF,Frank Gore,16,744,991.0,75.08,46.5,37.1,3.49,40.59,174.9,0.24
76,2013,WR,MIN,Greg Jennings,15,742,967.0,76.73,49.47,0.0,14.29,14.29,104.4,0.14
77,2013,TE,SEA,Zach Miller,14,717,875.0,81.94,51.21,0.0,7.81,7.81,68.7,0.1
78,2013,TE,LAR,Jared Cook,16,717,1004.0,71.41,44.81,0.0,11.85,11.85,95.1,0.13
79,2013,RB,SEA,Marshawn Lynch,16,711,1012.0,70.26,44.44,42.33,6.19,48.52,239.3,0.34
80,2013,WR,KC,Donnie Avery,16,706,1079.0,65.43,44.13,0.28,10.06,10.34,70.2,0.1
81,2013,RB,DEN,Knowshon Moreno,16,703,1207.0,58.24,43.94,34.28,10.53,44.81,236.6,0.34
82,2013,WR,SD,Eddie Royal,15,703,1045.0,67.27,46.87,0.43,9.53,9.96,111.2,0.16
83,2013,RB,BAL,Ray Rice,15,703,1073.0,65.52,46.87,30.44,10.38,40.83,120.1,0.17
84,2013,WR,BUF,Steve Johnson,12,701,877.0,79.93,58.42,0.14,14.41,14.55,78.7,0.11
85,2013,TE,GB,Andrew Quarless,16,693,1122.0,61.76,43.31,0.0,7.65,7.65,43.2,0.06
86,2013,WR,NO,Kenny Stills,16,690,1127.0,61.22,43.13,0.43,7.25,7.68,95.1,0.14
87,2013,TE,NE,Michael Hoomanawanui,13,688,957.0,71.89,52.92,0.0,2.76,2.76,19.6,0.03
88,2013,TE,ARI,Jim Dray,16,686,1084.0,63.28,42.88,0.0,4.66,4.66,31.5,0.05
89,2013,RB,GB,Eddie Lacy,15,679,1041.0,65.23,45.27,41.83,6.48,48.31,207.5,0.31
90,2013,WR,DAL,Terrance Williams,16,678,997.0,68.0,42.38,0.44,10.91,11.36,102.0,0.15
91,2013,RB,PIT,Le'Veon Bell,13,677,876.0,77.28,52.08,36.04,9.75,45.79,171.9,0.25
92,2013,TE,NYJ,Jeff Cumberland,15,675,990.0,68.18,45.0,0.0,5.93,5.93,63.8,0.09
93,2013,RB,MIN,Adrian Peterson,14,674,908.0,74.23,48.14,41.39,5.93,47.33,203.7,0.3
94,2013,TE,CIN,Tyler Eifert,15,673,1064.0,63.25,44.87,0.0,8.92,8.92,56.5,0.08
95,2013,RB,DAL,DeMarco Murray,14,671,863.0,77.75,47.93,32.34,9.84,42.18,205.1,0.31
96,2013,WR,GB,Jarrett Boykin,16,663,1122.0,59.09,41.44,0.0,12.52,12.52,92.1,0.14
97,2013,RB,BUF,Fred Jackson,16,663,1161.0,57.11,41.44,31.22,9.8,41.03,187.1,0.28
98,2013,RB,JAX,Maurice Jones-Drew,15,647,982.0,65.89,43.13,36.17,9.27,45.44,144.02,0.22
99,2013,WR,MIN,Jerome Simpson,16,643,1041.0,61.77,40.19,0.0,15.55,15.55,78.6,0.12
100,2013,WR,PIT,Jerricho Cotchery,16,636,1052.0,60.46,39.75,0.16,11.95,12.11,119.7,0.19
101,2013,TE,BAL,Ed Dickson,16,629,1136.0,55.37,39.31,0.0,6.84,6.84,33.3,0.05
102,2013,RB,MIA,Lamar Miller,16,623,1027.0,60.66,38.94,28.41,5.62,34.03,97.9,0.16
103,2013,RB,NYJ,Bilal Powell,16,618,1051.0,58.8,38.63,28.48,9.22,37.7,104.1,0.17
104,2013,RB,CIN,Giovani Bernard,16,613,1132.0,54.15,38.31,27.73,11.58,39.31,166.9,0.27
105,2013,RB,DET,Reggie Bush,14,611,1007.0,60.68,43.64,36.5,13.09,49.59,185.2,0.3
106,2013,TE,KC,Sean McGrath,16,610,1079.0,56.53,38.13,0.0,6.56,6.56,42.2,0.07
107,2013,TE,TB,Tim Wright,16,608,1036.0,58.69,38.0,0.16,12.5,12.66,87.3,0.14
108,2013,WR,ARI,Andre Roberts,16,605,1084.0,55.81,37.81,0.0,12.56,12.56,59.1,0.1
109,2013,RB,WAS,Alfred Morris,16,604,1144.0,52.8,37.75,45.7,1.99,47.68,169.3,0.28
110,2013,WR,IND,Darrius Heyward-Bey,16,603,1070.0,56.36,37.69,0.5,10.61,11.11,39.5,0.07
111,2013,WR,JAX,Ace Sanders,15,601,996.0,60.34,40.07,0.33,14.48,14.81,59.64,0.1
112,2013,FB,CAR,Mike Tolbert,16,599,1029.0,58.21,37.44,16.86,5.51,22.37,96.5,0.16
113,2013,WR,NYJ,Stephen Hill,12,594,782.0,75.96,49.5,0.0,9.93,9.93,38.2,0.06
114,2013,RB,CLE,Trent Richardson,16,593,1083.0,54.76,37.06,31.7,8.77,40.47,109.9,0.19
115,2013,TE,OAK,Mychal Rivera,16,592,1036.0,57.14,37.0,0.0,10.14,10.14,64.7,0.11
116,2013,WR,OAK,Denarius Moore,13,590,854.0,69.09,45.38,0.0,14.58,14.58,99.5,0.17
117,2013,TE,JAX,Marcedes Lewis,11,582,721.0,80.72,52.91,0.0,8.08,8.08,57.9,0.1
118,2013,WR,KC,Dexter McCluster,15,581,1025.0,56.68,38.73,1.38,14.29,15.66,63.6,0.11
119,2013,WR,LAR,Austin Pettis,16,579,1004.0,57.67,36.19,0.0,10.88,10.88,63.9,0.11
120,2013,WR,NYG,Rueben Randle,16,578,1026.0,56.34,36.13,0.0,13.49,13.49,95.1,0.16
121,2013,WR,JAX,Mike Brown,11,577,740.0,77.97,52.45,0.0,9.71,9.71,54.6,0.09
122,2013,TE,LAR,Lance Kendricks,15,576,949.0,60.7,38.4,0.0,7.99,7.99,49.8,0.09
123,2013,WR,NE,Kenbrell Thompkins,12,575,891.0,64.53,47.92,0.0,12.0,12.0,70.6,0.12
124,2013,WR,NE,Danny Amendola,12,571,917.0,62.27,47.58,0.18,14.54,14.71,75.4,0.13
125,2013,WR,NYJ,David Nelson,12,569,762.0,74.67,47.42,0.0,10.54,10.54,54.3,0.1
126,2013,WR,NYJ,Jeremy Kerley,12,567,810.0,70.0,47.25,0.71,12.7,13.4,71.4,0.13
127,2013,RB,LAR,Zac Stacy,14,566,858.0,65.97,40.43,44.17,6.18,50.35,157.4,0.28
128,2013,RB,NO,Pierre Thomas,16,564,1127.0,50.04,35.25,26.06,14.89,40.96,134.2,0.24
129,2013,WR,TB,Tiquan Underwood,12,563,770.0,73.12,46.92,0.0,8.17,8.17,68.0,0.12
130,2013,RB,DET,Joique Bell,16,554,1135.0,48.81,34.63,29.96,12.45,42.42,163.7,0.3
131,2013,WR,WAS,Santana Moss,16,551,1144.0,48.16,34.44,0.54,14.34,14.88,55.7,0.1
132,2013,WR,BAL,Jacoby Jones,12,549,859.0,63.91,45.75,0.36,12.2,12.57,57.5,0.1
133,2013,RB,OAK,Rashad Jennings,15,548,967.0,56.67,36.53,29.74,8.58,38.32,138.5,0.25
134,2013,WR,NE,Aaron Dobson,12,547,873.0,62.66,45.58,0.0,13.16,13.16,75.9,0.14
135,2013,WR,CIN,Marvin Jones,16,542,1132.0,47.88,33.88,1.48,14.76,16.24,137.7,0.25
136,2013,WR,CHI,Earl Bennett,15,541,1007.0,53.72,36.07,0.0,7.95,7.95,50.3,0.09
137,2013,TE,OAK,Jeron Mastrud,16,538,1036.0,51.93,33.63,0.0,2.42,2.42,8.8,0.02
138,2013,WR,CLE,Davone Bess,14,534,975.0,54.77,38.14,0.0,16.1,16.1,48.2,0.09
139,2013,RB,WAS,Roy Helu,16,527,1144.0,46.07,32.94,11.76,7.97,19.73,76.5,0.15
140,2013,TE,CLE,Gary Barnidge,16,527,1106.0,47.65,32.94,0.0,3.42,3.42,24.7,0.05
141,2013,WR,DAL,Miles Austin,11,524,713.0,73.49,47.64,0.0,9.35,9.35,24.4,0.05
142,2013,RB,CLE,Chris Ogbonnaya,16,521,1106.0,47.11,32.56,9.21,14.4,23.61,66.2,0.13
143,2013,TE,ARI,Rob Housler,13,520,874.0,59.5,40.0,0.0,10.96,10.96,51.4,0.1
144,2013,WR,MIA,Rishard Matthews,16,520,1027.0,50.63,32.5,0.0,12.88,12.88,56.8,0.11
145,2013,FB,SF,Bruce Miller,14,519,875.0,59.31,37.07,1.35,6.94,8.29,25.6,0.05
146,2013,FB,OAK,Marcel Reece,16,505,1036.0,48.75,31.56,9.11,10.69,19.8,79.78,0.16
147,2013,TE,KC,Anthony Fasano,9,503,599.0,83.97,55.89,0.0,6.56,6.56,38.0,0.08
148,2013,WR,DET,Nate Burleson,9,502,634.0,79.18,55.78,0.4,10.96,11.35,51.3,0.1
149,2013,WR,CAR,Ted Ginn,16,502,1029.0,48.79,31.38,0.8,13.55,14.34,88.5,0.18
150,2013,WR,NYJ,Santonio Holmes,11,500,728.0,68.68,45.45,0.0,11.8,11.8,51.6,0.1
151,2013,TE,MIN,John Carlson,13,497,859.0,57.86,38.23,0.0,9.66,9.66,38.4,0.08
152,2013,TE,NO,Benjamin Watson,15,497,1058.0,46.98,33.13,0.0,6.04,6.04,34.6,0.07
153,2013,RB,SD,Danny Woodhead,16,491,1110.0,44.23,30.69,21.59,17.72,39.31,147.4,0.3
154,2013,RB,HOU,Ben Tate,14,481,995.0,48.34,34.36,37.63,10.19,47.82,111.1,0.23
155,2013,TE,SF,Vance McDonald,15,480,917.0,52.34,32.0,0.0,3.96,3.96,11.9,0.02
156,2013,RB,SD,Ryan Mathews,16,471,1110.0,42.43,29.44,60.51,7.01,67.52,184.4,0.39
157,2013,RB,CAR,DeAngelo Williams,15,470,965.0,48.7,31.33,42.77,7.66,50.43,137.6,0.29
158,2013,WR,SEA,Jermaine Kearse,15,470,947.0,49.63,31.33,0.0,8.09,8.09,56.6,0.12
159,2013,RB,CIN,BenJarvus Green-Ellis,16,464,1132.0,40.99,29.0,47.41,1.72,49.14,115.8,0.25
160,2013,RB,ARI,Rashard Mendenhall,15,459,1030.0,44.56,30.6,47.28,4.58,51.85,126.1,0.27
161,2013,TE,PHI,Zach Ertz,16,450,1103.0,40.8,28.13,0.0,12.44,12.44,70.9,0.16
162,2013,FB,NO,Jed Collins,16,442,1127.0,39.22,27.63,3.39,4.07,7.47,15.9,0.04
163,2013,WR,NO,Lance Moore,13,441,929.0,47.47,33.92,0.0,12.24,12.24,55.7,0.13
164,2013,WR,MIN,Cordarrelle Patterson,16,436,1041.0,41.88,27.25,2.75,17.66,20.41,104.7,0.24
165,2013,RB,ATL,Jacquizz Rodgers,15,435,1006.0,43.24,29.0,22.3,14.25,36.55,89.4,0.21
166,2013,TE,BUF,Lee Smith,16,428,1161.0,36.86,26.75,0.0,2.1,2.1,7.8,0.02
167,2013,WR,IND,Reggie Wayne,7,428,463.0,92.44,61.14,0.23,13.55,13.79,64.8,0.15
168,2013,TE,MIN,Kyle Rudolph,8,424,500.0,84.8,53.0,0.0,10.85,10.85,49.3,0.12
169,2013,WR,LAR,Tavon Austin,13,422,836.0,50.48,32.46,2.13,16.35,18.48,84.9,0.2
170,2013,TE,TEN,Craig Stevens,15,418,1000.0,41.8,27.87,0.0,1.44,1.44,0.5,0.0
171,2013,RB,ATL,Steven Jackson,12,417,808.0,51.61,34.75,37.41,11.75,49.16,115.3,0.28
172,2013,WR,MIN,Jarius Wright,16,417,1041.0,40.06,26.06,0.0,10.31,10.31,61.4,0.15
173,2013,WR,WAS,Aldrick Robinson,16,407,1144.0,35.58,25.44,0.74,11.3,12.04,48.1,0.12
174,2013,RB,ARI,Andre Ellington,15,405,1013.0,39.98,27.0,29.14,14.07,43.21,126.3,0.31
175,2013,TE,SEA,Luke Willson,16,404,1012.0,39.92,25.25,0.0,6.93,6.93,33.2,0.08
176,2013,WR,ATL,Darius Johnson,10,401,662.0,60.57,40.1,0.0,10.72,10.72,25.0,0.06
177,2013,RB,BAL,Bernard Pierce,16,398,1136.0,35.04,24.88,38.19,6.28,44.47,66.0,0.17
178,2013,WR,WAS,Leonard Hankerson,10,389,739.0,52.64,38.9,0.0,12.85,12.85,55.5,0.14
179,2013,WR,NO,Robert Meachem,15,389,1058.0,36.77,25.93,0.51,7.71,8.23,44.3,0.11
180,2013,RB,BUF,CJ Spiller,15,389,1090.0,35.69,25.93,51.67,10.54,62.21,122.4,0.31
181,2013,FB,KC,Anthony Sherman,16,386,1079.0,35.77,24.13,0.52,6.22,6.74,19.8,0.05
182,2013,WR,TB,Kevin Ogletree,16,386,1129.0,34.19,24.13,0.0,11.66,11.66,38.9,0.1
183,2013,WR,WAS,Josh Morgan,14,385,987.0,39.01,27.5,0.52,8.57,9.09,22.7,0.06
184,2013,FB,TB,Erik Lorig,15,383,974.0,39.32,25.53,0.0,3.66,3.66,4.7,0.01
185,2013,TE,NE,Rob Gronkowski,7,383,529.0,72.4,54.71,0.0,17.23,17.23,83.2,0.22
186,2013,WR,OAK,Andre Holmes,10,380,637.0,59.65,38.0,0.0,13.68,13.68,49.1,0.13
187,2013,TE,WAS,Jordan Reed,9,379,673.0,56.32,42.11,0.26,15.57,15.83,69.7,0.18
188,2013,RB,IND,Donald Brown,16,373,1070.0,34.86,23.31,27.35,9.38,36.73,123.1,0.33
189,2013,WR,HOU,Keshawn Martin,16,373,1121.0,33.27,23.31,0.0,10.72,10.72,35.3,0.09
190,2013,FB,NYJ,Tommy Bohanon,16,371,1051.0,35.3,23.19,4.58,4.31,8.89,13.1,0.04
191,2013,TE,SD,Ladarius Green,16,364,1110.0,32.79,22.75,0.0,7.97,7.97,55.6,0.15
192,2013,WR,TB,Mike Williams,6,363,419.0,86.63,60.5,0.0,11.02,11.02,33.6,0.09
193,2013,TE,HOU,Ryan Griffin,15,362,1048.0,34.54,24.13,0.0,7.73,7.73,30.4,0.08
194,2013,RB,NYG,Andre Brown,8,360,497.0,72.43,45.0,38.61,8.06,46.67,73.5,0.2
195,2013,TE,JAX,Clay Harbor,16,358,1057.0,33.87,22.38,0.0,9.78,9.78,39.2,0.11
196,2013,TE,LAR,Cory Harkey,15,357,937.0,38.1,23.8,0.0,5.04,5.04,23.3,0.07
197,2013,RB,NO,Darren Sproles,15,357,1067.0,33.46,23.8,14.85,24.93,39.78,102.4,0.29
198,2013,WR,LAR,Brian Quick,16,353,1004.0,35.16,22.06,0.0,9.92,9.92,42.2,0.12
199,2013,TE,HOU,Owen Daniels,5,352,389.0,90.49,70.4,0.0,11.65,11.65,43.2,0.12
200,2013,RB,MIA,Daniel Thomas,15,348,945.0,36.83,23.2,31.32,4.89,36.21,82.9,0.24
201,2013,WR,ATL,Drew Davis,16,341,1077.0,31.66,21.31,0.0,4.99,4.99,33.6,0.1
202,2013,RB,OAK,Darren McFadden,10,336,649.0,51.77,33.6,33.93,7.44,41.37,81.34,0.24
203,2013,WR,TEN,Justin Hunter,14,335,922.0,36.33,23.93,0.0,12.54,12.54,59.4,0.18
204,2013,TE,NYG,Bear Pascoe,16,334,1026.0,32.55,20.88,0.3,5.99,6.29,8.3,0.02
205,2013,RB,NE,Stevan Ridley,14,333,1064.0,31.3,23.79,53.45,3.6,57.06,117.5,0.35
206,2013,WR,GB,Randall Cobb,6,333,428.0,77.8,55.5,1.2,14.11,15.32,75.1,0.23
207,2013,TE,NYJ,Kellen Winslow,12,333,774.0,43.02,27.75,0.0,14.11,14.11,50.8,0.15
208,2013,RB,NYJ,Chris Ivory,15,331,986.0,33.57,22.07,54.98,2.11,57.1,102.3,0.31
209,2013,WR,SEA,Sidney Rice,8,330,518.0,63.71,41.25,0.0,10.61,10.61,39.1,0.12
210,2013,FB,HOU,Greg Jones,16,329,1121.0,29.35,20.56,0.61,3.34,3.95,3.6,0.01
211,2013,FB,IND,Stanley Havili,13,328,875.0,37.49,25.23,2.13,6.4,8.54,19.5,0.06
212,2013,RB,CLE,Bobby Rainey,16,327,1036.0,31.56,20.44,45.87,5.81,51.68,95.2,0.29
213,2013,RB,HOU,Arian Foster,8,327,589.0,55.52,40.88,37.0,10.7,47.71,86.5,0.26
214,2013,RB,NE,James Develin,16,322,1197.0,26.9,20.13,1.24,1.24,2.48,13.2,0.04
215,2013,FB,GB,John Kuhn,15,322,1041.0,30.93,21.47,3.11,5.9,9.01,15.9,0.05
216,2013,TE,DEN,Virgil Green,16,319,1207.0,26.43,19.94,0.0,3.76,3.76,4.5,0.01
217,2013,TE,CAR,Ben Hartsock,13,318,837.0,37.99,24.46,0.0,0.0,0.0,0.0,0.0
218,2013,WR,SF,Kyle Williams,10,317,628.0,50.48,31.7,0.63,8.52,9.15,13.6,0.04
219,2013,TE,BAL,Dallas Clark,12,316,844.0,37.44,26.33,0.0,16.46,16.46,52.3,0.17
220,2013,WR,BUF,Marquise Goodwin,12,313,839.0,37.31,26.08,0.96,10.22,11.18,45.6,0.15
221,2013,WR,KC,Junior Hemingway,16,312,1079.0,28.92,19.5,0.0,6.09,6.09,22.5,0.07
222,2013,RB,DEN,Montee Ball,16,312,1207.0,25.85,19.5,38.46,8.65,47.12,88.6,0.28
223,2013,FB,JAX,Will Ta'ufo'ou,16,311,1057.0,29.42,19.44,0.32,4.82,5.14,4.1,0.01
224,2013,TE,DAL,James Hanna,16,311,997.0,31.19,19.44,0.0,4.82,4.82,7.3,0.02
225,2013,TE,DET,Joseph Fauria,16,306,1135.0,26.96,19.13,0.0,9.8,9.8,64.7,0.21
226,2013,RB,TB,Doug Martin,6,304,421.0,72.21,50.67,41.78,7.89,49.67,56.2,0.18
227,2013,WR,ARI,Kerry Taylor,10,303,662.0,45.77,30.3,0.0,11.22,11.22,28.9,0.1
228,2013,WR,BAL,Tandon Doss,15,302,1047.0,28.84,20.13,0.0,11.92,11.92,28.5,0.09
229,2013,FB,MIN,Jerome Felton,13,301,843.0,35.71,23.15,0.0,2.66,2.66,3.7,0.01
230,2013,WR,TEN,Kenny Britt,12,299,818.0,36.55,24.92,0.0,11.71,11.71,9.6,0.03
231,2013,WR,ATL,Julio Jones,5,296,343.0,86.3,59.2,0.34,19.93,20.27,68.7,0.23
232,2013,TE,MIN,Rhett Ellison,11,294,741.0,39.68,26.73,0.0,3.4,3.4,12.1,0.04
233,2013,RB,NE,Shane Vereen,8,294,625.0,47.04,36.75,14.97,23.47,38.44,87.5,0.3
234,2013,RB,TB,Brian Leonard,16,291,1036.0,28.09,18.19,16.15,12.71,28.87,36.1,0.12
235,2013,TE,NE,Matthew Mulligan,15,290,1106.0,26.22,19.33,0.0,1.03,1.03,7.6,0.03
236,2013,RB,NE,LeGarrette Blount,16,286,1197.0,23.89,17.88,53.5,1.75,55.24,119.0,0.42
237,2013,TE,MIA,Dion Sims,15,279,964.0,28.94,18.6,0.0,3.58,3.58,9.2,0.03
238,2013,WR,OAK,Jacoby Ford,14,278,917.0,30.32,19.86,1.8,8.63,10.43,9.4,0.03
239,2013,WR,IND,Griff Whalen,9,271,621.0,43.64,30.11,0.0,14.76,14.76,37.9,0.14
240,2013,TE,TEN,Taylor Thompson,16,271,1075.0,25.21,16.94,0.0,2.58,2.58,7.3,0.03
241,2013,RB,NE,Brandon Bolden,12,269,886.0,30.36,22.42,20.45,10.78,31.23,60.3,0.22
242,2013,RB,CLE,Willis McGahee,12,264,842.0,31.35,22.0,52.27,4.17,56.44,49.7,0.19
243,2013,RB,JAX,Jordan Todman,16,264,1057.0,24.98,16.5,28.79,9.85,38.64,55.2,0.21
